n_targets	n_bootstraps	n_processed	n_pseudoaligned	n_unique	p_pseudoaligned	p_unique	kallisto_version	index_version	start_time	call	sample_accession	nCount_RNA	nFeature_RNA	percent_mt
0	0	49864886	36831373	6783920	73.9	13.6	0.46.2	0	Sun Mar  7 10:44:11 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257468/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257468_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257468_2.fastq.gz	EGAF00004257468	1272.2257799671593	680.8686371100164	3.3516068737421594
0	0	54313847	39403696	10491263	72.5	19.3	0.46.2	0	Sun Mar  7 10:29:31 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257469/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257469_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257469_2.fastq.gz	EGAF00004257469	3427.3176470588237	1272.0470588235294	4.007853895712668
0	0	45399823	33472767	9636803	73.7	21.2	0.46.2	0	Sun Mar  7 10:18:34 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257470/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257470_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257470_2.fastq.gz	EGAF00004257470	4160.9701492537315	1489.1492537313434	3.9605100376098106
0	0	91418484	67128171	12595204	73.4	13.8	0.46.2	0	Sun Mar  7 10:18:32 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257471/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257471_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257471_2.fastq.gz	EGAF00004257471	1578.867298578199	795.7780410742496	3.2689381162000832
0	0	107345604	79548046	14679499	74.1	13.7	0.46.2	0	Sun Mar  7 09:28:15 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257472/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257472_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257472_2.fastq.gz	EGAF00004257472	1776.516886930984	871.2731277533039	3.3466812484534536
0	0	86316099	51452361	15336145	59.6	17.8	0.46.2	0	Sun Mar  7 10:02:57 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257473/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257473_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257473_2.fastq.gz	EGAF00004257473	3120.75	1177.142857142857	3.9143012643737385
0	0	67889414	50497151	9275407	74.4	13.7	0.46.2	0	Sun Mar  7 09:08:01 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257474/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257474_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257474_2.fastq.gz	EGAF00004257474	1495.3125548726953	768.017559262511	3.4199689750641302
0	0	75913787	43183354	12855525	56.9	16.9	0.46.2	0	Sun Mar  7 10:07:43 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257475/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257475_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257475_2.fastq.gz	EGAF00004257475	2889.090909090909	1122.3863636363637	3.0547791526287775
0	0	68793760	38992205	10486510	56.7	15.2	0.46.2	0	Sun Mar  7 09:35:27 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257476/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257476_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257476_2.fastq.gz	EGAF00004257476	3007.2105263157896	1141.2631578947369	3.216412001853216
0	0	72993340	42060692	12279098	57.6	16.8	0.46.2	0	Sun Mar  7 09:44:44 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257477/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257477_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257477_2.fastq.gz	EGAF00004257477	2418.925	907.725	3.2433989454567587
0	0	88498355	65429801	13443911	73.9	15.2	0.46.2	0	Sun Mar  7 10:20:46 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257478/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257478_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257478_2.fastq.gz	EGAF00004257478	1721.420634920635	871.0122655122655	2.994325780265839
0	0	68817829	50497739	10302466	73.4	15	0.46.2	0	Sun Mar  7 09:52:08 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257543/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257543_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257543_2.fastq.gz	EGAF00004257543	1566.063811188811	809.7666083916084	3.105166838545714
0	0	75978476	55802997	11471470	73.4	15.1	0.46.2	0	Sun Mar  7 08:58:14 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257544/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257544_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257544_2.fastq.gz	EGAF00004257544	1510.050789293068	790.2491420727522	2.9264889289154583
0	0	81555797	59480219	12046680	72.9	14.8	0.46.2	0	Sun Mar  7 10:44:12 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257545/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257545_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257545_2.fastq.gz	EGAF00004257545	1537.9761215629521	800.3596237337192	3.040381021044144
0	0	79492016	60736115	16990064	76.4	21.4	0.46.2	0	Sun Mar  7 10:31:53 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257546/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257546_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257546_2.fastq.gz	EGAF00004257546	2644.1770833333335	947.4375	4.149278013287049
0	0	64358052	49199477	14113101	76.4	21.9	0.46.2	0	Sun Mar  7 09:12:44 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257547/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257547_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257547_2.fastq.gz	EGAF00004257547	3346.2093023255816	1127.0581395348838	4.096886956638123
0	0	65355160	49941471	8578357	76.4	13.1	0.46.2	0	Mon Mar  8 00:07:12 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257548/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257548_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257548_2.fastq.gz	EGAF00004257548	1523.8978046934142	809.3610900832703	2.4480205495434744
0	0	63093462	47477302	9571292	75.2	15.2	0.46.2	0	Sun Mar  7 10:49:05 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257549/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257549_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257549_2.fastq.gz	EGAF00004257549	3298.131313131313	1194.4141414141413	3.9712693023878196
0	0	74251399	55224375	10430049	74.4	14	0.46.2	0	Sun Mar  7 09:58:36 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257550/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257550_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257550_2.fastq.gz	EGAF00004257550	3244.598214285714	1204.9017857142858	3.845839633909043
0	0	57006746	43127045	7519605	75.7	13.2	0.46.2	0	Sun Mar  7 10:02:59 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257551/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257551_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257551_2.fastq.gz	EGAF00004257551	1314.8402777777778	722.7998737373738	2.354214357863488
0	0	75614822	59026292	12013903	78.1	15.9	0.46.2	0	Sun Mar  7 09:17:12 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257552/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257552_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257552_2.fastq.gz	EGAF00004257552	5878	2250.6666666666665	3.8870367626591
0	0	80666256	62489285	12734013	77.5	15.8	0.46.2	0	Sun Mar  7 08:56:02 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257553/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257553_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257553_2.fastq.gz	EGAF00004257553	1573.921965317919	845.9320809248555	2.671536951764453
0	0	75599332	57436805	12244176	76	16.2	0.46.2	0	Sun Mar  7 10:07:42 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257554/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257554_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257554_2.fastq.gz	EGAF00004257554	4018.9470588235295	1465.0647058823529	3.9311736609217167
0	0	72751133	54502455	11181757	74.9	15.4	0.46.2	0	Sun Mar  7 10:44:12 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257555/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257555_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257555_2.fastq.gz	EGAF00004257555	3807.5915492957747	1434.6901408450703	3.7966175262603006
0	0	86699097	65476415	11198759	75.5	12.9	0.46.2	0	Sun Mar  7 09:05:33 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257556/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257556_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257556_2.fastq.gz	EGAF00004257556	1851.237037037037	927.2433862433862	2.3516693956794494
0	0	90191872	67720250	11584774	75.1	12.8	0.46.2	0	Sun Mar  7 09:23:51 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257557/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257557_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257557_2.fastq.gz	EGAF00004257557	1749.5545023696682	895.9620853080569	2.4564564005905813
0	0	59402647	43901252	8277840	73.9	13.9	0.46.2	0	Sun Mar  7 10:46:41 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257558/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257558_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257558_2.fastq.gz	EGAF00004257558	3216.1140350877195	1164.8070175438597	3.872823498661902
0	0	46793437	36153288	7095412	77.3	15.2	0.46.2	0	Sun Mar  7 08:56:01 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257559/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257559_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257559_2.fastq.gz	EGAF00004257559	1330.2636484687084	746.3089214380825	2.4882433066230356
0	0	61751974	45860532	8576293	74.3	13.9	0.46.2	0	Sun Mar  7 08:43:44 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257560/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257560_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257560_2.fastq.gz	EGAF00004257560	2765.345070422535	1006.8661971830986	3.5875064372391847
0	0	49728211	37570271	7344328	75.6	14.8	0.46.2	0	Sun Mar  7 09:35:28 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257561/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257561_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257561_2.fastq.gz	EGAF00004257561	1531.2249322493226	823.3780487804878	2.681649941147728
0	0	58272226	40723853	9844481	69.9	16.9	0.46.2	0	Sun Mar  7 12:41:55 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257562/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257562_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257562_2.fastq.gz	EGAF00004257562	5554.706422018348	1887.394495412844	4.496846188052555
0	0	68938063	51811061	10980840	75.2	15.9	0.46.2	0	Mon Mar  8 00:48:27 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257563/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257563_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257563_2.fastq.gz	EGAF00004257563	4547.157699443414	1664.1818181818182	4.4418884314271105
0	0	113574590	88873721	18486235	78.3	16.3	0.46.2	0	Sun Mar  7 10:16:16 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257564/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257564_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257564_2.fastq.gz	EGAF00004257564	1513.3872077028886	804.6121045392022	3.0221004048588784
0	0	61779053	48178214	10242535	78	16.6	0.46.2	0	Sun Mar  7 09:35:27 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257565/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257565_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257565_2.fastq.gz	EGAF00004257565	1234.7531411677753	685.9246119733924	3.0951574602956784
0	0	112058377	87422735	19114102	78	17.1	0.46.2	0	Sun Mar  7 09:26:04 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257566/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257566_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257566_2.fastq.gz	EGAF00004257566	2563.5815217391305	1187.9510869565217	3.6759012071445496
0	0	121940220	81538551	17455427	66.9	14.3	0.46.2	0	Sun Mar  7 09:32:48 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257567/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257567_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257567_2.fastq.gz	EGAF00004257567	1515.6818960593946	831.6487721302113	2.79220368259034
0	0	83823921	61575440	12647208	73.5	15.1	0.46.2	0	Sun Mar  7 10:20:48 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257568/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257568_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257568_2.fastq.gz	EGAF00004257568	1690.7741046831957	906.435261707989	3.603705912225956
0	0	17472292	11140607	2377302	63.8	13.6	0.46.2	0	Sun Mar  7 09:58:36 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257569/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257569_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257569_2.fastq.gz	EGAF00004257569	2126.945054945055	1077.7802197802198	2.5183714410490223
0	0	129706283	93203198	18666501	71.9	14.4	0.46.2	0	Sun Mar  7 09:44:43 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257570/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257570_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257570_2.fastq.gz	EGAF00004257570	2037.5380374862184	1038.0496141124586	3.898985724030421
0	0	73973559	57104845	9861752	77.2	13.3	0.46.2	0	Sun Mar  7 12:01:38 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257571/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257571_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257571_2.fastq.gz	EGAF00004257571	1916.1360691144707	924.9902807775378	5.0363963986703935
0	0	87503094	67451743	11592265	77.1	13.2	0.46.2	0	Sun Mar  7 12:25:43 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257572/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257572_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257572_2.fastq.gz	EGAF00004257572	2106.4127697841727	992.9154676258993	4.83955944995508
0	0	81201435	62446144	10737033	76.9	13.2	0.46.2	0	Sun Mar  7 13:00:27 2021	kallisto bus -t 8 -x 10xv2 -i references/kallisto_idx/10xv2/hs-homo_sapiens.idx -o /data/OGVFB_BG/scEiaD/2021_01_21/quant/EGAF00004257573/10xv2/hs-homo_sapiens /data/OGVFB_BG/scEiaD/fastq/EGAF00004257573_1.fastq.gz /data/OGVFB_BG/scEiaD/fastq/EGAF00004257573_2.fastq.gz	EGAF00004257573	2399.8379446640315	1089.6324110671937	4.980470550937488
